c_TipoDoc;c_NumeroD;d_Fecha;c_CodClie;c_CodArt;c_Descri;n_Cantidad;n_Precio;n_CostoAct
FAC;000560;28/04/2026;C-03;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000561;29/04/2026;C-04;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000562;29/04/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000563;29/04/2026;C-06;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000564;30/04/2026;C-07;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000565;30/04/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000566;30/04/2026;C-09;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000567;01/05/2026;C-10;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000568;01/05/2026;C-11;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000569;01/05/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000570;01/05/2026;C-13;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000571;02/05/2026;C-14;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000572;02/05/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000573;02/05/2026;C-16;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000574;03/05/2026;C-17;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000575;03/05/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000576;03/05/2026;C-01;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000577;04/05/2026;C-02;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000578;04/05/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000579;04/05/2026;C-04;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000580;05/05/2026;C-05;P-001;PRODUCTO RENTABLE;14;180,00;95,00
FAC;000581;05/05/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000582;05/05/2026;C-07;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
PRE;000583;06/05/2026;C-08;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000584;06/05/2026;C-09;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000585;06/05/2026;C-10;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000586;06/05/2026;C-11;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000587;07/05/2026;C-12;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000588;07/05/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000589;07/05/2026;C-14;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000590;08/05/2026;C-15;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000591;08/05/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000592;08/05/2026;C-17;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000593;09/05/2026;C-18;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000594;09/05/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000595;09/05/2026;C-02;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000596;10/05/2026;C-03;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000597;10/05/2026;C-04;P-003;PRODUCTO CON MARGEN BAJO;6;105,00;100,00
FAC;000598;10/05/2026;C-05;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000599;11/05/2026;C-06;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000600;11/05/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
N/C;000601;11/05/2026;C-08;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000602;12/05/2026;C-09;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000603;12/05/2026;C-10;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000604;12/05/2026;C-11;P-004;PRODUCTO POR AGOTARSE;20;160,00;105,00
FAC;000605;13/05/2026;C-12;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000606;13/05/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000607;13/05/2026;C-14;P-004;PRODUCTO POR AGOTARSE;21;160,00;105,00
FAC;000608;14/05/2026;C-15;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000609;14/05/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000610;14/05/2026;C-17;P-004;PRODUCTO POR AGOTARSE;22;160,00;105,00
FAC;000611;15/05/2026;C-18;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000612;15/05/2026;C-01;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000613;15/05/2026;C-02;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000614;15/05/2026;C-03;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000615;16/05/2026;C-04;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000616;16/05/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000617;16/05/2026;C-06;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000618;17/05/2026;C-07;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000619;17/05/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000620;17/05/2026;C-09;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000621;18/05/2026;C-10;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000622;18/05/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000623;18/05/2026;C-12;P-004;PRODUCTO POR AGOTARSE;9;160,00;105,00
FAC;000624;19/05/2026;C-13;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000625;19/05/2026;C-14;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000626;19/05/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000627;19/05/2026;C-16;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000628;20/05/2026;C-17;P-001;PRODUCTO RENTABLE;14;180,00;95,00
FAC;000629;20/05/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000630;20/05/2026;C-01;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000631;21/05/2026;C-02;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000632;21/05/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000633;21/05/2026;C-04;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000634;22/05/2026;C-05;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000635;22/05/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000636;22/05/2026;C-07;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000637;23/05/2026;C-08;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000638;23/05/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000639;23/05/2026;C-10;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000640;24/05/2026;C-11;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000641;24/05/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000642;24/05/2026;C-13;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000643;25/05/2026;C-14;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000644;25/05/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;10;105,00;100,00
FAC;000645;25/05/2026;C-16;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000646;26/05/2026;C-17;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000647;26/05/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000648;26/05/2026;C-01;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000649;27/05/2026;C-02;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000650;27/05/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000651;27/05/2026;C-04;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000652;28/05/2026;C-05;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000653;28/05/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000654;28/05/2026;C-07;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000655;29/05/2026;C-08;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000656;29/05/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000657;29/05/2026;C-10;P-004;PRODUCTO POR AGOTARSE;15;160,00;105,00
FAC;000658;30/05/2026;C-11;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000659;30/05/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000660;30/05/2026;C-13;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
N/C;000661;31/05/2026;C-14;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000662;31/05/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000663;31/05/2026;C-16;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000664;01/06/2026;C-17;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000665;01/06/2026;C-18;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000666;01/06/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000667;01/06/2026;C-02;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000668;02/06/2026;C-03;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000669;02/06/2026;C-04;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000670;02/06/2026;C-05;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000671;03/06/2026;C-06;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000672;03/06/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000673;03/06/2026;C-08;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000674;04/06/2026;C-09;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000675;04/06/2026;C-10;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000676;04/06/2026;C-11;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000677;05/06/2026;C-12;P-001;PRODUCTO RENTABLE;17;180,00;95,00
FAC;000678;05/06/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000679;05/06/2026;C-14;P-004;PRODUCTO POR AGOTARSE;15;160,00;105,00
PRE;000680;06/06/2026;C-15;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000681;06/06/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000682;06/06/2026;C-17;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000683;07/06/2026;C-18;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000684;07/06/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000685;07/06/2026;C-02;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000686;08/06/2026;C-03;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000687;08/06/2026;C-04;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000688;08/06/2026;C-05;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000689;09/06/2026;C-06;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000690;09/06/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000691;09/06/2026;C-08;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000692;10/06/2026;C-09;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000693;10/06/2026;C-10;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000694;10/06/2026;C-11;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000695;11/06/2026;C-12;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000696;11/06/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000697;11/06/2026;C-14;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000698;12/06/2026;C-15;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000699;12/06/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000700;12/06/2026;C-17;P-004;PRODUCTO POR AGOTARSE;25;160,00;105,00
FAC;000701;13/06/2026;C-18;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000702;13/06/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000703;13/06/2026;C-02;P-004;PRODUCTO POR AGOTARSE;23;160,00;105,00
FAC;000704;14/06/2026;C-03;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000705;14/06/2026;C-04;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000706;14/06/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000707;14/06/2026;C-06;P-004;PRODUCTO POR AGOTARSE;21;160,00;105,00
FAC;000708;15/06/2026;C-07;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000709;15/06/2026;C-08;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000710;15/06/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000711;15/06/2026;C-10;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000712;16/06/2026;C-11;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000713;16/06/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000714;16/06/2026;C-13;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000715;17/06/2026;C-14;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000716;17/06/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000717;17/06/2026;C-16;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000718;18/06/2026;C-17;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000719;18/06/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000720;18/06/2026;C-01;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
N/C;000721;19/06/2026;C-02;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000722;19/06/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000723;19/06/2026;C-04;P-004;PRODUCTO POR AGOTARSE;15;160,00;105,00
FAC;000724;20/06/2026;C-05;P-001;PRODUCTO RENTABLE;12;180,00;95,00
FAC;000725;20/06/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000726;20/06/2026;C-07;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000727;21/06/2026;C-08;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000728;21/06/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000729;21/06/2026;C-10;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000730;22/06/2026;C-11;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000731;22/06/2026;C-12;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000732;22/06/2026;C-13;P-004;PRODUCTO POR AGOTARSE;10;160,00;105,00
FAC;000733;23/06/2026;C-14;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000734;23/06/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000735;23/06/2026;C-16;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000736;24/06/2026;C-17;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000737;24/06/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000738;24/06/2026;C-01;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000739;25/06/2026;C-02;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000740;25/06/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000741;25/06/2026;C-04;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000742;26/06/2026;C-05;P-001;PRODUCTO RENTABLE;10;180,00;95,00
FAC;000743;26/06/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000744;26/06/2026;C-07;P-004;PRODUCTO POR AGOTARSE;15;160,00;105,00
FAC;000745;27/06/2026;C-08;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000746;27/06/2026;C-09;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000747;27/06/2026;C-10;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000748;27/06/2026;C-11;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000749;28/06/2026;C-12;P-001;PRODUCTO RENTABLE;4;180,00;95,00
FAC;000750;28/06/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000751;28/06/2026;C-14;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000752;29/06/2026;C-15;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000753;29/06/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000754;29/06/2026;C-17;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000755;30/06/2026;C-18;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000756;30/06/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000757;30/06/2026;C-02;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000758;01/07/2026;C-03;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000759;01/07/2026;C-04;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000760;01/07/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000761;01/07/2026;C-06;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000762;02/07/2026;C-07;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000763;02/07/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000764;02/07/2026;C-09;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000765;03/07/2026;C-10;P-001;PRODUCTO RENTABLE;11;180,00;95,00
FAC;000766;03/07/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000767;03/07/2026;C-12;P-004;PRODUCTO POR AGOTARSE;16;160,00;105,00
FAC;000768;04/07/2026;C-13;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000769;04/07/2026;C-14;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000770;04/07/2026;C-15;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000771;05/07/2026;C-16;P-001;PRODUCTO RENTABLE;12;180,00;95,00
FAC;000772;05/07/2026;C-17;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000773;05/07/2026;C-18;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000774;06/07/2026;C-01;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000775;06/07/2026;C-02;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000776;06/07/2026;C-03;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
PRE;000777;07/07/2026;C-04;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000778;07/07/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000779;07/07/2026;C-06;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000780;08/07/2026;C-07;P-001;PRODUCTO RENTABLE;8;180,00;95,00
N/C;000781;08/07/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000782;08/07/2026;C-09;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000783;09/07/2026;C-10;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000784;09/07/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000785;09/07/2026;C-12;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000786;10/07/2026;C-13;P-001;PRODUCTO RENTABLE;11;180,00;95,00
FAC;000787;10/07/2026;C-14;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000788;10/07/2026;C-15;P-003;PRODUCTO CON MARGEN BAJO;11;105,00;100,00
FAC;000789;10/07/2026;C-16;P-004;PRODUCTO POR AGOTARSE;16;160,00;105,00
FAC;000790;11/07/2026;C-17;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000791;11/07/2026;C-18;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000792;11/07/2026;C-01;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000793;12/07/2026;C-02;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000794;12/07/2026;C-03;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000795;12/07/2026;C-04;P-004;PRODUCTO POR AGOTARSE;22;160,00;105,00
FAC;000796;13/07/2026;C-05;P-001;PRODUCTO RENTABLE;7;180,00;95,00
FAC;000797;13/07/2026;C-06;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000798;13/07/2026;C-07;P-004;PRODUCTO POR AGOTARSE;21;160,00;105,00
FAC;000799;14/07/2026;C-08;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000800;14/07/2026;C-09;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000801;14/07/2026;C-10;P-004;PRODUCTO POR AGOTARSE;22;160,00;105,00
FAC;000802;15/07/2026;C-11;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000803;15/07/2026;C-12;P-002;PRODUCTO SOBREABASTECIDO;2;250,00;170,00
FAC;000804;15/07/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000805;15/07/2026;C-14;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000806;16/07/2026;C-15;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000807;16/07/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000808;16/07/2026;C-17;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000809;17/07/2026;C-18;P-001;PRODUCTO RENTABLE;11;180,00;95,00
FAC;000810;17/07/2026;C-01;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000811;17/07/2026;C-02;P-004;PRODUCTO POR AGOTARSE;16;160,00;105,00
FAC;000812;18/07/2026;C-03;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000813;18/07/2026;C-04;P-003;PRODUCTO CON MARGEN BAJO;5;105,00;100,00
FAC;000814;18/07/2026;C-05;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000815;19/07/2026;C-06;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000816;19/07/2026;C-07;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000817;19/07/2026;C-08;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000818;20/07/2026;C-09;P-001;PRODUCTO RENTABLE;14;180,00;95,00
FAC;000819;20/07/2026;C-10;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000820;20/07/2026;C-11;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000821;21/07/2026;C-12;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000822;21/07/2026;C-13;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000823;21/07/2026;C-14;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000824;22/07/2026;C-15;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000825;22/07/2026;C-16;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000826;22/07/2026;C-17;P-004;PRODUCTO POR AGOTARSE;13;160,00;105,00
FAC;000827;23/07/2026;C-18;P-001;PRODUCTO RENTABLE;9;180,00;95,00
FAC;000828;23/07/2026;C-01;P-002;PRODUCTO SOBREABASTECIDO;1;250,00;170,00
FAC;000829;23/07/2026;C-02;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000830;23/07/2026;C-03;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000831;24/07/2026;C-04;P-001;PRODUCTO RENTABLE;11;180,00;95,00
FAC;000832;24/07/2026;C-05;P-003;PRODUCTO CON MARGEN BAJO;9;105,00;100,00
FAC;000833;24/07/2026;C-06;P-004;PRODUCTO POR AGOTARSE;16;160,00;105,00
FAC;000834;25/07/2026;C-07;P-001;PRODUCTO RENTABLE;6;180,00;95,00
FAC;000835;25/07/2026;C-08;P-003;PRODUCTO CON MARGEN BAJO;7;105,00;100,00
FAC;000836;25/07/2026;C-09;P-004;PRODUCTO POR AGOTARSE;14;160,00;105,00
FAC;000837;26/07/2026;C-10;P-001;PRODUCTO RENTABLE;5;180,00;95,00
FAC;000838;26/07/2026;C-11;P-003;PRODUCTO CON MARGEN BAJO;4;105,00;100,00
FAC;000839;26/07/2026;C-12;P-004;PRODUCTO POR AGOTARSE;12;160,00;105,00
FAC;000840;27/07/2026;C-13;P-001;PRODUCTO RENTABLE;7;180,00;95,00
N/C;000841;27/07/2026;C-14;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
FAC;000842;27/07/2026;C-15;P-004;PRODUCTO POR AGOTARSE;11;160,00;105,00
FAC;000843;28/07/2026;C-16;P-001;PRODUCTO RENTABLE;8;180,00;95,00
FAC;000844;28/07/2026;C-17;P-003;PRODUCTO CON MARGEN BAJO;8;105,00;100,00
